Rating,Reviews,Salaries,Jobs,Industry
4.1,150000.0,78600.0,27300.0,Business Consulting
4.1,100000.0,34000.0,35300.0,Accounting & Tax
4.4,31700.0,8000.0,438.0,Enterprise Software & Network Solutions
4.3,33300.0,9900.0,136.0,Information Technology Support Services
4.3,49700.0,9900.0,1600.0,Computer Hardware Development
4.4,45800.0,8500.0,1800.0,Internet & Web Services
4.1,29300.0,4200.0,1300.0,Computer Hardware Development
4.4,28400.0,5100.0,2000.0,Enterprise Software & Network Solutions
4.0,11100.0,9900.0,143.5,Information Technology Support Services
4.0,20400.0,5600.0,2800.0,Computer Hardware Development
4.1,23500.0,7400.0,15.0,Investment & Asset Management
4.2,16900.0,3900.0,875.0,Information Technology Support Services
4.1,9800.0,3800.0,143.5,Computer Hardware Development
4.3,30400.0,9100.0,1800.0,Information Technology Support Services
4.2,17800.0,4900.0,832.0,Telecommunications Services
4.3,15200.0,4400.0,262.0,Computer Hardware Development
4.0,23500.0,3600.0,5500.0,Banking & Lending
4.1,20400.0,4500.0,11300.0,Electronics Manufacturing
4.5,10900.0,3300.0,778.0,Enterprise Software & Network Solutions
4.0,12900.0,4000.0,2100.0,Biotech & Pharmaceuticals
4.3,14900.0,2500.0,1200.0,Investment & Asset Management
3.9,17700.0,3400.0,835.0,Investment & Asset Management
4.0,18300.0,2300.0,1200.0,Machinery Manufacturing
4.5,49800.0,8500.0,1200.0,Telecommunications Services
4.2,13900.0,3000.0,3500.0,Energy & Utilities
4.0,5000.0,6900.0,89.0,Internet & Web Services
4.4,8900.0,4200.0,445.0,Computer Hardware Development
4.1,13200.0,2000.0,1100.0,Energy & Utilities
4.2,9300.0,2000.0,1100.0,Computer Hardware Development
4.3,17300.0,2500.0,992.0,Enterprise Software & Network Solutions
4.6,10000.0,1100.0,1400.0,Software Development
4.1,9000.0,2000.0,3800.0,Electronics Manufacturing
4.0,4400.0,4400.0,1.0,Machinery Manufacturing
4.2,14800.0,6200.0,44.0,HR Consulting
4.3,7200.0,1500.0,1200.0,Healthcare Services & Hospitals
4.6,5100.0,1800.0,2900.0,Computer Hardware Development
4.1,6000.0,1100.0,609.0,Information Technology Support Services
4.1,2900.0,1700.0,24.0,Enterprise Software & Network Solutions
4.1,15100.0,1700.0,841.0,Consumer Product Manufacturing
4.2,5000.0,1400.0,157.0,Enterprise Software & Network Solutions
4.3,38800.0,1100.0,4200.0,Computer Hardware Development
4.5,5200.0,1200.0,268.0,Electronics Manufacturing
4.2,16000.0,4400.0,201.0,Financial Transaction Processing
4.3,4100.0,1600.0,254.0,Telecommunications Services
4.1,4900.0,1400.0,170.0,Banking & Lending
4.0,16300.0,3000.0,4500.0,Telecommunications Services
4.3,6600.0,878.0,32.0,Internet & Web Services
4.7,2900.0,1200.0,153.0,Information Technology Support Services
4.2,3300.0,2000.0,11.0,Information Technology Support Services
4.3,10100.0,1600.0,100.0,Business Consulting
4.2,4900.0,684.0,1200.0,Transportation Equipment Manufacturing
4.1,15400.0,344.0,1500.0,Banking & Lending
4.0,12000.0,437.0,754.0,Transportation Equipment Manufacturing
4.1,3400.0,1400.0,417.0,Computer Hardware Development
4.1,4300.0,1100.0,1700.0,Biotechnology
4.4,10500.0,2400.0,143.5,Business Consulting
4.4,3800.0,2000.0,31.0,Information Technology Support Services
4.1,2700.0,2700.0,100.0,Information Technology Support Services
4.1,3800.0,659.0,518.0,Electronics Manufacturing
4.0,7700.0,1100.0,947.0,Machinery Manufacturing
4.1,1900.0,2200.0,1600.0,Information Technology Support Services
4.1,6100.0,516.0,3300.0,Aerospace & Defence
4.2,2000.0,840.0,151.0,Enterprise Software & Network Solutions
4.1,5900.0,466.0,1500.0,Internet & Web Services
4.0,7700.0,1200.0,2600.0,Sporting Goods Stores
4.1,2900.0,1600.0,197.0,Enterprise Software & Network Solutions
4.1,1700.0,988.0,88.0,Enterprise Software & Network Solutions
4.0,5900.0,5800.0,84.0,Information Technology Support Services
4.3,1800.0,1400.0,4.0,Information Technology Support Services
4.1,12200.0,779.0,1900.0,Biotech & Pharmaceuticals
4.0,4000.0,3700.0,143.5,Computer Hardware Development
4.0,7000.0,494.0,1900.0,Crop Production
4.2,8600.0,1700.0,1500.0,Information Technology Support Services
4.2,2300.0,454.0,528.0,Computer Hardware Development
4.1,7800.0,1600.0,1100.0,Business Consulting
4.1,4300.0,746.0,870.0,Computer Hardware Development
4.5,2300.0,668.0,402.0,Software Development
4.2,1500.0,1900.0,30.0,Internet & Web Services
4.0,1900.0,2100.0,77.0,Information Technology Support Services
4.0,10900.0,1200.0,4000.0,Real Estate
4.1,846.0,6400.0,143.5,Unknown
4.1,7100.0,1400.0,516.0,Business Consulting
4.0,7100.0,1200.0,817.0,Insurance Agencies & Brokerages
4.0,16900.0,881.0,30100.0,Hotels & Resorts
4.0,8900.0,3900.0,602.0,Banking & Lending
4.1,5800.0,5000.0,1700.0,Telecommunications Services
4.3,4900.0,2100.0,143.5,Advertising & Public Relations
4.3,3300.0,553.0,1100.0,Biotech & Pharmaceuticals
4.2,3500.0,532.0,1600.0,Electronics Manufacturing
4.0,38500.0,2800.0,1100.0,Banking & Lending
4.2,2300.0,1100.0,303.0,Information Technology Support Services
4.0,2700.0,608.0,1200.0,Business Consulting
4.2,5500.0,2000.0,2400.0,Marine Transportation
4.1,1800.0,1500.0,2.0,Information Technology Support Services
4.4,2200.0,489.0,198.0,Software Development
4.0,4500.0,386.0,644.0,Biotech & Pharmaceuticals
4.1,2200.0,2500.0,143.5,Unknown
4.1,1600.0,1900.0,60.0,Business Consulting
4.0,6400.0,434.0,966.0,Insurance Carriers
4.4,1300.0,1100.0,20.0,Enterprise Software & Network Solutions
4.2,2300.0,2000.0,42.0,Colleges & Universities
4.1,3700.0,964.0,196.0,Business Consulting
4.2,4200.0,871.0,146.0,Enterprise Software & Network Solutions
4.2,13900.0,229.0,1100.0,Consumer Product Manufacturing
4.0,3500.0,503.0,427.0,Food & Beverage Manufacturing
4.3,2500.0,1100.0,258.0,Computer Hardware Development
4.0,2600.0,989.0,353.0,Financial Transaction Processing
4.2,2600.0,622.0,5500.0,Consumer Product Manufacturing
4.0,2200.0,503.0,285.0,Insurance Agencies & Brokerages
4.3,4300.0,367.0,327.0,Enterprise Software & Network Solutions
4.0,1900.0,985.0,12.0,Information Technology Support Services
4.1,3600.0,361.0,753.0,Information Technology Support Services
4.1,1500.0,744.0,95.0,Computer Hardware Development
4.1,3400.0,507.0,2500.0,Consumer Product Manufacturing
4.1,6700.0,1000.0,205.0,Internet & Web Services
4.0,2400.0,518.0,970.0,Electronics Manufacturing
4.0,17900.0,5100.0,500.0,Banking & Lending
4.4,3900.0,987.0,511.0,Enterprise Software & Network Solutions
4.0,4100.0,266.0,634.0,Telecommunications Services
4.0,2600.0,452.0,635.0,Biotech & Pharmaceuticals
4.2,2000.0,362.0,212.0,Electronics Manufacturing
4.0,3800.0,367.0,386.0,Computer Hardware Development
4.3,809.0,1200.0,1.0,Information Technology Support Services
4.1,5500.0,204.0,11.0,Internet & Web Services
4.0,4100.0,1200.0,4.0,Business Consulting
3.8,3300.0,854.0,350.0,Biotech & Pharmaceuticals
4.2,4400.0,4600.0,1000.0,Information Technology Support Services
4.0,4600.0,985.0,339.0,Enterprise Software & Network Solutions
4.5,1300.0,463.0,91.0,Video Game Publishing
4.4,3800.0,3100.0,150.0,Insurance Carriers
4.2,1300.0,960.0,143.5,Education Support & Training Services
4.1,2500.0,713.0,439.0,Electronics Manufacturing
4.4,1200.0,512.0,175.0,Software Development
4.0,3300.0,633.0,15.0,Computer Hardware Development
4.2,3600.0,208.0,180.0,Internet & Web Services
4.2,15100.0,831.0,1500.0,Biotech & Pharmaceuticals
4.1,1800.0,2000.0,1.0,"Civic, Welfare & Social Services"
4.0,2600.0,1500.0,102.0,Information Technology Support Services
4.0,763.0,891.0,58.0,Business Consulting
4.0,3300.0,3100.0,465.0,Transportation Equipment Manufacturing
4.0,2800.0,299.0,399.0,Unknown
4.1,7000.0,940.0,2200.0,Unknown
4.2,882.0,888.0,22.0,Unknown
4.5,1100.0,988.0,13.0,Unknown
4.0,1900.0,522.0,698.0,Unknown
4.2,1700.0,1500.0,2.0,Unknown
4.2,1800.0,288.0,48.0,Unknown
4.0,2800.0,231.0,1900.0,Unknown
4.2,1300.0,507.0,12.0,Unknown
4.5,1200.0,508.0,57.0,Unknown
4.1,8300.0,302.0,1200.0,Unknown
4.0,10700.0,6800.0,63.0,Unknown
4.1,3800.0,238.0,1500.0,Unknown
4.3,4200.0,2900.0,79.0,Unknown
4.4,2200.0,151.0,485.0,Unknown
4.0,908.0,673.0,143.5,Unknown
4.0,18900.0,853.0,5800.0,Unknown
4.1,1900.0,345.0,96.0,Unknown
4.0,1800.0,564.0,288.0,Unknown
4.1,860.0,426.0,324.0,Unknown
4.6,2000.0,217.0,1000.0,Unknown
4.0,18600.0,3300.0,2100.0,Unknown
4.2,869.0,2400.0,34.0,Unknown
4.4,6900.0,1600.0,127.0,Unknown
4.3,2900.0,1600.0,647.0,Unknown
4.2,4800.0,247.0,1700.0,Unknown
3.9,2900.0,234.0,56.0,Unknown
4.0,9600.0,2100.0,2100.0,Unknown
4.3,2700.0,1100.0,337.0,Unknown
4.1,2700.0,1200.0,171.0,Unknown
4.1,16000.0,677.0,345.0,Consumer Product Manufacturing
4.0,1400.0,1400.0,1.0,HR Consulting
4.2,6300.0,148.0,154.0,Biotech & Pharmaceuticals
4.4,1500.0,560.0,75.0,Telecommunications Services
4.1,753.0,1000.0,155.0,Internet & Web Services
4.3,1300.0,980.0,143.5,Unknown
4.2,3700.0,264.0,31.0,Internet & Web Services
4.0,10500.0,199.0,7300.0,Hotels & Resorts
4.2,3800.0,3900.0,143.5,Transportation Equipment Manufacturing
4.0,821.0,833.0,12.0,Consumer Product Manufacturing
4.1,800.0,852.0,143.5,Software Development
4.1,3500.0,672.0,253.0,Business Consulting
4.0,3300.0,2700.0,1300.0,"Cable, Internet & Telephone Providers"
2.8,970.0,281.0,25.0,Enterprise Software & Network Solutions
4.1,1500.0,257.0,67.0,Computer Hardware Development
4.3,1500.0,218.0,193.0,Business Consulting
4.2,842.0,815.0,1600.0,Information Technology Support Services
4.1,14300.0,963.0,1900.0,Food & Beverage Manufacturing
4.2,830.0,319.0,83.0,Electronics Manufacturing
4.4,796.0,546.0,2.0,Telecommunications Services
4.5,1500.0,734.0,75.0,Information Technology Support Services
4.3,7500.0,959.0,150.0,Software Development
4.4,909.0,309.0,37.0,Enterprise Software & Network Solutions
4.0,1700.0,1700.0,170.0,Consumer Product Manufacturing
4.1,1000.0,797.0,145.0,Information Technology Support Services
4.0,4700.0,880.0,3400.0,Construction
4.3,1400.0,312.0,307.0,Information Technology Support Services
4.0,768.0,606.0,95.0,Information Technology Support Services
4.1,2000.0,250.0,459.0,"Department, Clothing & Shoe Stores"
4.2,8500.0,293.0,46900.0,HR Consulting
4.0,13000.0,1800.0,2800.0,Transportation Equipment Manufacturing
4.1,6500.0,2400.0,2200.0,Research & Development
4.0,12000.0,338.0,1400.0,Consumer Product Manufacturing
4.3,772.0,513.0,7.0,Information Technology Support Services
4.2,2000.0,956.0,56.0,Real Estate
4.5,3800.0,4400.0,58.0,Computer Hardware Development
4.1,988.0,252.0,143.5,Computer Hardware Development
4.0,1600.0,966.0,4.0,Computer Hardware Development
4.0,734.0,431.0,19.0,Information Technology Support Services
4.3,1200.0,812.0,101.0,Computer Hardware Development
4.0,776.0,842.0,11.0,Education Support & Training Services
4.0,1800.0,2100.0,96.0,Banking & Lending
4.0,609.0,1900.0,143.5,Film Production
4.3,7100.0,57.0,22.0,"Airlines, Airports & Air Transportation"
4.1,1400.0,1300.0,2.0,Electronics Manufacturing
4.0,480.0,483.0,143.5,Enterprise Software & Network Solutions
4.1,893.0,215.0,2.0,Advertising & Public Relations
4.2,965.0,755.0,143.5,Primary & Secondary Schools
4.4,1400.0,403.0,60.0,HR Consulting
4.2,2200.0,554.0,821.0,"Staffing, Recruitment & Subcontracting"
4.0,6900.0,1300.0,1400.0,Banking & Lending
4.0,915.0,169.0,98.0,Enterprise Software & Network Solutions
4.1,1300.0,1300.0,143.5,Transportation Equipment Manufacturing
4.1,604.0,200.0,2000.0,Enterprise Software & Network Solutions
4.2,1200.0,136.0,143.5,Computer Hardware Development
4.1,2200.0,816.0,53.0,Healthcare Services & Hospitals
4.0,1400.0,102.0,183.0,Investment & Asset Management
4.0,4900.0,150.0,19.0,Enterprise Software & Network Solutions
4.1,1500.0,1000.0,525.0,Computer Hardware Development
4.1,732.0,274.0,875.0,Enterprise Software & Network Solutions
4.1,3000.0,1800.0,143.5,Internet & Web Services
4.0,1200.0,1200.0,35.0,Enterprise Software & Network Solutions
4.3,1300.0,139.0,143.5,Banking & Lending
4.0,8400.0,568.0,908.0,Telecommunications Services
4.2,782.0,890.0,2.0,Research & Development
4.1,503.0,582.0,22.0,Electronics Manufacturing
4.5,500.0,504.0,143.5,Computer Hardware Development
4.1,1600.0,91.0,1500.0,Publishing
4.1,528.0,514.0,5.0,Enterprise Software & Network Solutions
4.1,4100.0,117.0,1100.0,Consumer Product Manufacturing
4.3,1600.0,1400.0,143.5,Internet & Web Services
4.2,845.0,1200.0,66.0,Business Consulting
4.3,1400.0,105.0,21.0,Banking & Lending
4.4,559.0,429.0,3.0,Internet & Web Services
4.2,2200.0,612.0,2.0,Unknown
4.4,723.0,762.0,10.0,Information Technology Support Services
4.0,1100.0,198.0,106.0,Other Retail Shops
4.5,637.0,250.0,89.0,Enterprise Software & Network Solutions
4.0,332.0,1900.0,143.5,Unknown
4.0,1100.0,107.0,108.0,Stock Exchanges
4.3,2700.0,2300.0,143.5,Information Technology Support Services
4.1,3500.0,285.0,1700.0,Hotels & Resorts
4.1,414.0,260.0,77.0,Enterprise Software & Network Solutions
4.3,1000.0,227.0,25.0,Business Consulting
4.0,1200.0,977.0,70.0,Other Retail Shops
4.4,718.0,566.0,32.0,Information Technology Support Services
4.1,8700.0,414.0,1500.0,Biotech & Pharmaceuticals
4.0,1400.0,266.0,37.0,Electronics Manufacturing
4.1,508.0,401.0,95.0,Software Development
4.3,1100.0,696.0,143.5,National Services & Agencies
4.4,306.0,439.0,3.0,Internet & Web Services
4.0,890.0,115.0,16.0,Enterprise Software & Network Solutions
4.0,565.0,439.0,42.0,Computer Hardware Development
4.1,547.0,329.0,26.0,Enterprise Software & Network Solutions
4.2,7500.0,65.0,156.0,Internet & Web Services
4.2,2100.0,200.0,84.0,Business Consulting
4.2,604.0,227.0,8.0,Enterprise Software & Network Solutions
4.3,993.0,198.0,114.0,Enterprise Software & Network Solutions
4.5,422.0,402.0,143.5,Internet & Web Services
4.1,473.0,405.0,20.0,Architectural & Engineering Services
4.2,722.0,189.0,24.0,Biotech & Pharmaceuticals
4.0,883.0,339.0,52.0,Information Technology Support Services
4.2,808.0,420.0,143.5,Unknown
4.1,9600.0,239.0,344.0,Food & Beverage Manufacturing
4.2,1900.0,446.0,379.0,Electronics Manufacturing
4.0,9600.0,342.0,1300.0,Biotech & Pharmaceuticals
4.4,282.0,333.0,2.0,Information Technology Support Services
4.3,694.0,871.0,143.5,Unknown
4.0,524.0,294.0,143.5,Telecommunications Services
4.2,865.0,142.0,143.5,Internet & Web Services
4.0,6700.0,603.0,3200.0,Architectural & Engineering Services
4.0,303.0,212.0,3.0,Computer Hardware Development
4.2,717.0,193.0,172.0,Information Technology Support Services
4.1,418.0,403.0,22.0,Healthcare Services & Hospitals
4.0,1700.0,141.0,18.0,Business Consulting
4.5,641.0,126.0,89.0,Enterprise Software & Network Solutions
4.2,963.0,258.0,481.0,Computer Hardware Development
4.2,738.0,1000.0,39.0,Internet & Web Services
4.3,509.0,217.0,155.0,Video Game Publishing
4.0,595.0,341.0,143.5,Information Technology Support Services
4.2,1200.0,779.0,42.0,Architectural & Engineering Services
4.1,392.0,320.0,43.0,Computer Hardware Development
4.1,6100.0,510.0,1600.0,Health Care Products Manufacturing
4.2,535.0,546.0,1.0,Information Technology Support Services
4.3,5800.0,1600.0,786.0,Financial Transaction Processing
4.0,1600.0,1500.0,143.5,Internet & Web Services
3.9,6000.0,148.0,2600.0,Accounting & Tax
4.2,7500.0,1100.0,1200.0,Transportation Equipment Manufacturing
4.0,519.0,571.0,7.0,Internet & Web Services
4.0,1600.0,54.0,277.0,Advertising & Public Relations
4.0,5400.0,984.0,186.0,Investment & Asset Management
4.0,1800.0,164.0,338.0,Consumer Product Manufacturing
4.3,1300.0,1700.0,143.5,National Services & Agencies
4.2,596.0,335.0,192.0,Software Development
4.2,480.0,438.0,51.0,Internet & Web Services
4.6,272.0,163.0,143.5,Real Estate
4.2,1100.0,68.0,383.0,Aerospace & Defence
4.1,745.0,240.0,12.0,HR Consulting
4.1,286.0,321.0,143.5,Insurance Carriers
4.2,311.0,245.0,1.0,Information Technology Support Services
4.1,1900.0,361.0,180.0,Information Technology Support Services
4.0,1000.0,869.0,143.5,Construction
4.8,543.0,196.0,143.5,Software Development
4.2,442.0,200.0,66.0,Enterprise Software & Network Solutions
4.1,1200.0,1000.0,35.0,Internet & Web Services
4.0,351.0,332.0,35.0,Hotels & Resorts
4.0,628.0,814.0,34.0,Information Technology Support Services
4.1,2000.0,423.0,1900.0,Machinery Manufacturing
4.0,4200.0,116.0,1200.0,Information Technology Support Services
4.2,1300.0,211.0,50.0,Enterprise Software & Network Solutions
4.1,769.0,446.0,7.0,Computer Hardware Development
4.2,6100.0,1300.0,837.0,Machinery Manufacturing
4.2,610.0,493.0,143.5,Unknown
4.1,275.0,131.0,11.0,Information Technology Support Services
4.0,4600.0,346.0,1300.0,Hotels & Resorts
4.0,6600.0,1100.0,1200.0,Investment & Asset Management
4.0,253.0,312.0,33.0,Electronics Manufacturing
4.0,624.0,150.0,275.0,Consumer Product Manufacturing
4.0,346.0,306.0,4.0,Enterprise Software & Network Solutions
4.0,1100.0,70.0,59.0,Enterprise Software & Network Solutions
4.4,369.0,303.0,25.0,Information Technology Support Services
4.4,2000.0,636.0,115.0,Telecommunications Services
4.2,354.0,47.0,6.0,Computer Hardware Development
4.0,11500.0,957.0,389.0,Energy & Utilities
4.0,221.0,332.0,143.5,Business Consulting
4.0,272.0,393.0,143.5,Video Game Publishing
4.1,361.0,206.0,6.0,Broadcast Media
4.3,653.0,611.0,143.5,Enterprise Software & Network Solutions
4.0,552.0,741.0,143.5,Unknown
4.3,270.0,338.0,143.5,Banking & Lending
4.0,1000.0,156.0,416.0,Consumer Electronics & Appliances Stores
4.1,525.0,115.0,95.0,Enterprise Software & Network Solutions
4.1,2600.0,359.0,350.0,Construction
4.1,271.0,245.0,143.5,Enterprise Software & Network Solutions
4.2,1200.0,1200.0,8.0,Internet & Web Services
4.1,900.0,93.0,523.0,"Department, Clothing & Shoe Stores"
4.3,2400.0,232.0,19.0,Internet & Web Services
4.0,316.0,435.0,8.0,Business Consulting
4.0,1900.0,101.0,2.0,Investment & Asset Management
4.1,688.0,87.0,17.0,Information Technology Support Services
4.1,2300.0,298.0,201.0,Architectural & Engineering Services
4.0,1700.0,396.0,113.0,Enterprise Software & Network Solutions
4.2,244.0,149.0,143.5,Healthcare Services & Hospitals
4.0,258.0,266.0,11.0,Enterprise Software & Network Solutions
4.1,7700.0,211.0,1200.0,Biotech & Pharmaceuticals
4.3,5000.0,154.0,1400.0,Food & Beverage Manufacturing
4.7,5000.0,3900.0,5.0,Information Technology Support Services
4.0,526.0,615.0,143.5,Grocery Stores
4.1,1500.0,1700.0,143.5,Unknown
4.0,670.0,96.0,8.0,Information Technology Support Services
4.0,1400.0,826.0,16.0,Enterprise Software & Network Solutions
4.0,6600.0,426.0,4500.0,Hotels & Resorts
4.2,254.0,344.0,1.0,Internet & Web Services
4.1,3900.0,1500.0,89.0,Investment & Asset Management
4.0,344.0,210.0,9.0,Electronics Manufacturing
4.1,494.0,110.0,81.0,Electronics Manufacturing
4.5,971.0,49.0,437.0,Computer Hardware Development
4.2,1700.0,371.0,2300.0,HR Consulting
4.2,443.0,94.0,2.0,Computer Hardware Development
4.2,719.0,943.0,143.5,Investment & Asset Management
4.0,222.0,190.0,143.5,Enterprise Software & Network Solutions
4.0,390.0,263.0,44.0,Information Technology Support Services
4.1,1100.0,496.0,64.0,Unknown
4.1,680.0,482.0,2.0,Unknown
4.0,459.0,133.0,90.0,Enterprise Software & Network Solutions
4.0,2100.0,626.0,73.0,Enterprise Software & Network Solutions
4.0,283.0,246.0,26.0,Healthcare Services & Hospitals
4.3,256.0,199.0,3.0,Information Technology Support Services
4.3,207.0,251.0,30.0,Enterprise Software & Network Solutions
4.3,473.0,1100.0,56.0,"Gift, Novelty & Souvenir Stores"
4.2,502.0,133.0,80.0,Computer Hardware Development
4.1,524.0,363.0,42.0,Internet & Web Services
4.3,7500.0,18.0,2000.0,"Department, Clothing & Shoe Stores"
4.2,2500.0,352.0,111.0,Biotech & Pharmaceuticals
4.6,6600.0,173.0,958.0,Consumer Product Manufacturing
4.3,365.0,259.0,1.0,Internet & Web Services
4.2,359.0,250.0,22.0,Internet & Web Services
4.1,1600.0,1500.0,143.5,Wholesale
4.0,436.0,720.0,143.5,Unknown
4.1,2500.0,2000.0,588.0,Metal & Mineral Manufacturing
4.3,333.0,309.0,36.0,Education Support & Training Services
4.1,883.0,162.0,143.5,Investment & Asset Management
4.4,319.0,245.0,143.5,Software Development
4.1,1100.0,659.0,36.0,Information Technology Support Services
4.1,1700.0,1400.0,69.0,Biotech & Pharmaceuticals
4.0,3800.0,347.0,2400.0,Transportation Equipment Manufacturing
4.2,457.0,174.0,143.5,Investment & Asset Management
4.2,1000.0,80.0,134.0,Chemical Manufacturing
4.0,683.0,84.0,13.0,Consumer Product Manufacturing
4.5,1900.0,174.0,103.0,Publishing
4.0,248.0,173.0,143.5,Information Technology Support Services
4.0,398.0,511.0,1.0,Unknown
4.1,254.0,231.0,143.5,Financial Transaction Processing
4.0,400.0,117.0,137.0,Enterprise Software & Network Solutions
4.1,187.0,274.0,12.0,Information Technology Support Services
4.2,919.0,1300.0,9.0,Advertising & Public Relations
4.4,187.0,163.0,143.5,Information Technology Support Services
4.1,335.0,168.0,143.5,Enterprise Software & Network Solutions
4.0,593.0,484.0,143.5,Food & Beverage Manufacturing
4.0,592.0,116.0,3.0,Transportation Equipment Manufacturing
4.1,494.0,252.0,143.5,Internet & Web Services
4.0,392.0,125.0,70.0,Unknown
4.0,765.0,81.0,298.0,Mining & Metals
4.2,5100.0,47.0,943.0,Information Technology Support Services
4.3,451.0,342.0,5.0,Computer Hardware Development
4.4,482.0,400.0,13.0,Business Consulting
4.6,4200.0,1800.0,40.0,Information Technology Support Services
4.0,308.0,95.0,33.0,Software Development
4.2,465.0,165.0,15.0,Information Technology Support Services
4.1,1700.0,32.0,818.0,Transportation Equipment Manufacturing
4.1,259.0,309.0,3.0,Information Technology Support Services
4.0,508.0,520.0,10.0,Information Technology Support Services
4.1,852.0,738.0,99.0,Investment & Asset Management
4.1,307.0,387.0,3.0,Software Development
4.0,346.0,289.0,42.0,Healthcare Services & Hospitals
4.4,135.0,190.0,1.0,Enterprise Software & Network Solutions
4.0,940.0,883.0,35.0,Insurance Carriers
4.0,963.0,156.0,141.0,Accounting & Tax
4.3,1200.0,237.0,143.5,Unknown
4.4,1800.0,209.0,228.0,Enterprise Software & Network Solutions
4.0,1400.0,261.0,143.5,Business Consulting
4.0,830.0,69.0,669.0,Business Consulting
4.5,836.0,1000.0,26.0,Information Technology Support Services
4.1,918.0,993.0,143.5,Metal & Mineral Manufacturing
4.1,628.0,797.0,25.0,Business Consulting
4.2,2200.0,37.0,750.0,Enterprise Software & Network Solutions
4.3,3500.0,423.0,273.0,Consumer Product Manufacturing
4.1,902.0,733.0,143.5,Telecommunications Services
4.3,295.0,153.0,12.0,Insurance Agencies & Brokerages
4.1,26600.0,38.0,660.0,National Services & Agencies
4.2,184.0,161.0,143.5,Information Technology Support Services
4.1,701.0,521.0,4.0,Hotels & Resorts
4.0,1200.0,360.0,280.0,Information Technology Support Services
4.3,188.0,139.0,143.5,Investment & Asset Management
4.4,163.0,165.0,143.5,Internet & Web Services
4.0,3600.0,3300.0,42.0,Information Technology Support Services
4.0,567.0,84.0,243.0,Machinery Manufacturing
4.0,203.0,212.0,24.0,Architectural & Engineering Services
4.2,3500.0,126.0,1300.0,Food & Beverage Manufacturing
4.0,482.0,604.0,9.0,Education Support & Training Services
4.1,839.0,505.0,143.5,Advertising & Public Relations
4.1,176.0,75.0,7.0,HR Consulting
4.0,913.0,525.0,224.0,Film Production
4.2,2500.0,807.0,331.0,Computer Hardware Development
4.0,1500.0,1400.0,32.0,Transportation Equipment Manufacturing
4.0,1300.0,1200.0,25.0,Information Technology Support Services
4.2,2100.0,619.0,144.0,Banking & Lending
4.1,1400.0,43.0,348.0,Consumer Electronics & Appliances Stores
4.1,4600.0,36.0,1700.0,Investment & Asset Management
4.4,499.0,433.0,143.5,Information Technology Support Services
4.3,538.0,480.0,7.0,Building & Personnel Services
4.0,291.0,214.0,16.0,Business Consulting
4.0,409.0,55.0,53.0,Investment & Asset Management
4.1,753.0,240.0,8.0,Enterprise Software & Network Solutions
4.5,250.0,150.0,11.0,Business Consulting
4.7,480.0,334.0,16.0,Enterprise Software & Network Solutions
4.1,278.0,181.0,143.5,Information Technology Support Services
4.1,1000.0,179.0,143.5,Electronics Manufacturing
4.0,6700.0,376.0,1200.0,Food & Beverage Manufacturing
4.3,672.0,61.0,2.0,Film Production
3.9,352.0,33.0,69.0,Computer Hardware Development
4.5,255.0,161.0,143.5,Enterprise Software & Network Solutions
4.1,1500.0,46.0,55.0,Film Production
4.3,527.0,432.0,6.0,Information Technology Support Services
4.6,560.0,35.0,229.0,Information Technology Support Services
4.0,2000.0,397.0,222.0,Research & Development
4.8,766.0,27.0,20.0,Enterprise Software & Network Solutions
4.0,186.0,194.0,1.0,Enterprise Software & Network Solutions
4.0,259.0,114.0,38.0,Enterprise Software & Network Solutions
4.4,278.0,118.0,144.0,Information Technology Support Services
4.2,398.0,250.0,143.5,Unknown
4.1,154.0,137.0,143.5,Information Technology Support Services
4.2,736.0,70.0,80.0,Machinery Manufacturing
4.6,318.0,65.0,3.0,Enterprise Software & Network Solutions
4.4,439.0,185.0,2.0,Healthcare Services & Hospitals
4.0,4400.0,51.0,1600.0,Investment & Asset Management
4.1,3400.0,133.0,697.0,Colleges & Universities
4.1,747.0,37.0,33.0,Enterprise Software & Network Solutions
4.0,198.0,180.0,55.0,Internet & Web Services
4.3,1000.0,284.0,143.5,Membership Organisations
4.2,498.0,60.0,143.0,Unknown
4.1,5600.0,93.0,548.0,Insurance Carriers
4.0,3000.0,510.0,204.0,Insurance Agencies & Brokerages
4.1,313.0,337.0,1.0,Healthcare Services & Hospitals
4.1,302.0,342.0,2.0,Insurance Carriers
4.0,2300.0,647.0,1500.0,Enterprise Software & Network Solutions
4.3,1100.0,1000.0,68.0,Information Technology Support Services
4.8,245.0,98.0,14.0,Information Technology Support Services
4.7,614.0,651.0,143.5,National Services & Agencies
4.2,2000.0,1600.0,15.0,Computer Hardware Development
